"Statistic Label","Year","Type of Meat","UNIT","VALUE"
"Variation in Meat Stocks","2015","Sheep meat","000 Tonnes","0"
"Variation in Meat Stocks","2015","Poultry meat","000 Tonnes","0"
"Variation in Meat Stocks","2016","Total Meat","000 Tonnes","0"
"Variation in Meat Stocks","2016","Beef and veal","000 Tonnes","0"
"Variation in Meat Stocks","2016","Pig meat","000 Tonnes","0"
"Variation in Meat Stocks","2016","Sheep meat","000 Tonnes","0"
"Variation in Meat Stocks","2016","Poultry meat","000 Tonnes","0"
"Variation in Meat Stocks","2017","Total Meat","000 Tonnes","0"
"Variation in Meat Stocks","2017","Beef and veal","000 Tonnes","0"
"Variation in Meat Stocks","2017","Pig meat","000 Tonnes","0"
"Variation in Meat Stocks","2017","Sheep meat","000 Tonnes","0"
"Variation in Meat Stocks","2017","Poultry meat","000 Tonnes","0"
"Variation in Meat Stocks","2018","Total Meat","000 Tonnes","0"
"Variation in Meat Stocks","2018","Beef and veal","000 Tonnes","0"
"Variation in Meat Stocks","2018","Pig meat","000 Tonnes","0"
"Variation in Meat Stocks","2018","Sheep meat","000 Tonnes","0"
"Variation in Meat Stocks","2018","Poultry meat","000 Tonnes","0"
"Variation in Meat Stocks","2019","Total Meat","000 Tonnes","0"
"Variation in Meat Stocks","2019","Beef and veal","000 Tonnes","0"
"Variation in Meat Stocks","2019","Pig meat","000 Tonnes","0"
"Variation in Meat Stocks","2019","Sheep meat","000 Tonnes","0"
"Variation in Meat Stocks","2019","Poultry meat","000 Tonnes","0"
"Variation in Meat Stocks","2020","Total Meat","000 Tonnes","0"
"Variation in Meat Stocks","2020","Beef and veal","000 Tonnes","0"
"Variation in Meat Stocks","2020","Pig meat","000 Tonnes","0"
"Variation in Meat Stocks","2020","Sheep meat","000 Tonnes","0"
"Variation in Meat Stocks","2020","Poultry meat","000 Tonnes","0"
"Variation in Meat Stocks","2021","Total Meat","000 Tonnes","0"
"Variation in Meat Stocks","2021","Beef and veal","000 Tonnes","0"
"Variation in Meat Stocks","2021","Pig meat","000 Tonnes","0"
"Variation in Meat Stocks","2021","Sheep meat","000 Tonnes","0"
"Variation in Meat Stocks","2021","Poultry meat","000 Tonnes","0"
"Meat Products for Domestic Use","2012","Total Meat","000 Tonnes","371"
"Meat Products for Domestic Use","2012","Beef and veal","000 Tonnes","89"
"Meat Products for Domestic Use","2012","Pig meat","000 Tonnes","126"
"Meat Products for Domestic Use","2012","Sheep meat","000 Tonnes","16"
"Meat Products for Domestic Use","2012","Poultry meat","000 Tonnes","140"
"Meat Products for Domestic Use","2013","Total Meat","000 Tonnes","390"
"Meat Products for Domestic Use","2013","Beef and veal","000 Tonnes","87"
"Meat Products for Domestic Use","2013","Pig meat","000 Tonnes","145"
"Meat Products for Domestic Use","2013","Sheep meat","000 Tonnes","15"
"Meat Products for Domestic Use","2013","Poultry meat","000 Tonnes","143"
"Meat Products for Domestic Use","2014","Total Meat","000 Tonnes","393"
"Meat Products for Domestic Use","2014","Beef and veal","000 Tonnes","88"
"Meat Products for Domestic Use","2014","Pig meat","000 Tonnes","151"
"Meat Products for Domestic Use","2014","Sheep meat","000 Tonnes","16"
"Meat Products for Domestic Use","2014","Poultry meat","000 Tonnes","138"
"Meat Products for Domestic Use","2015","Total Meat","000 Tonnes","398"
"Meat Products for Domestic Use","2015","Beef and veal","000 Tonnes","87"
"Meat Products for Domestic Use","2015","Pig meat","000 Tonnes","147"
"Meat Products for Domestic Use","2015","Sheep meat","000 Tonnes","16"
"Meat Products for Domestic Use","2015","Poultry meat","000 Tonnes","149"
"Meat Products for Domestic Use","2016","Total Meat","000 Tonnes","419"
"Meat Products for Domestic Use","2016","Beef and veal","000 Tonnes","89"
"Meat Products for Domestic Use","2016","Pig meat","000 Tonnes","148"
"Meat Products for Domestic Use","2016","Sheep meat","000 Tonnes","15"
"Meat Products for Domestic Use","2016","Poultry meat","000 Tonnes","167"
"Meat Products for Domestic Use","2017","Total Meat","000 Tonnes","422.5216891"
"Meat Products for Domestic Use","2017","Beef and veal","000 Tonnes","94.49011361"
"Meat Products for Domestic Use","2017","Pig meat","000 Tonnes","148.9587"
"Meat Products for Domestic Use","2017","Sheep meat","000 Tonnes","16.04901316"
"Meat Products for Domestic Use","2017","Poultry meat","000 Tonnes","163.0238623"
"Meat Products for Domestic Use","2018","Total Meat","000 Tonnes","438.8591871"
"Meat Products for Domestic Use","2018","Beef and veal","000 Tonnes","95"
"Meat Products for Domestic Use","2018","Pig meat","000 Tonnes","149.9183999"
"Meat Products for Domestic Use","2018","Sheep meat","000 Tonnes","18.1358396"
"Meat Products for Domestic Use","2018","Poultry meat","000 Tonnes","175.8049475"
"Meat Products for Domestic Use","2019","Total Meat","000 Tonnes","444.0337309"
"Meat Products for Domestic Use","2019","Beef and veal","000 Tonnes","95.5"
"Meat Products for Domestic Use","2019","Pig meat","000 Tonnes","156.3640992"
"Meat Products for Domestic Use","2019","Sheep meat","000 Tonnes","18"
"Meat Products for Domestic Use","2019","Poultry meat","000 Tonnes","174.1696317"
